Information listing created by	guest-lti
Date	30-Nov-2023 19:45:18
Current work part	C:\Users\guest-lti\Desktop\proj\model1_fem1.fem
Node name	jimmychoo


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  1                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 13 140 141
  2                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 19 13 14
  3                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 140 19 139
  4                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 140 13 19
  5                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 139 18 138
  6                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 139 19 18
  7                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 19 17 18
  8                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 17 14 15
  9                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 17 19 14
  10                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 12 137 20
  11                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 12 136 137
  12                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 20 138 18
  13                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 20 137 138
  14                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 11 20 21
  15                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 11 12 20
  16                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 21 18 17
  17                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 21 20 18
  18                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 17 22 21
  19                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 22 15 16
  20                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 22 17 15
  21                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 21 10 11
  22                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 21 22 10
  23                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 9 16 8
  24                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 22 9 10
