Information listing created by	guest-lti
Date	30-Nov-2023 19:59:24
Current work part	C:\Users\guest-lti\Desktop\proj\model1_fem2.fem
Node name	jimmychoo


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  62                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 130 2 21 104 105 106
  63                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 130 131 2 137 41 104
  64                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 22 141 20 107 102 108
  65                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 140 22 1 109 110 56
  66                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 140 141 22 145 107 109
  67                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 21 22 20 111 108 112
  68                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 22 2 1 113 43 110
  69                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 22 21 2 111 105 113
  70                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 21 182 130 114 138 106
  71                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 21 149 182 115 152 114
  72                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 21 20 149 112 116 115
  73                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 155 148 183 117 118 159
  74                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 155 147 148 73 153 117
  75                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 20 148 149 119 154 116
  76                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 20 183 148 103 118 119
 
------------------------------------------------------------
 
